gender	race	region	happy	life	sibs	childs	age	educ	paeduc	maeduc	speduc	prestg80	occcat80	tax	usintl	obey	popular	thnkself	workhard	helpoth	hlth1	hlth2	hlth3	hlth4	hlth5	hlth6	hlth7	hlth8	hlth9	work1	work2	work3	work4	work5	work6	work7	work8	work9	prob1	prob2	prob3	prob4
2	1	1	1	1	1	2	61	12	97	12	97	22	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	 	 	 
2	1	1	2	1	2	1	32	20	20	18	20	75	1	1	0	5	4	1	2	3	1	1	2	2	2	2	2	2	2	2	2	1	2	2	1	2	1	1	2	4	5	 
1	1	1	1	0	2	1	35	20	16	14	17	59	1	0	1	5	4	1	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	 	 	 	 
2	1	1	9	2	2	0	26	20	20	20	97	48	1	1	0	4	5	1	3	2	1	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	 	 
2	2	1	2	1	4	0	25	12	98	98	97	42	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	 	 	 
1	2	1	2	0	7	5	59	10	8	6	97	0	 	0	2	5	2	4	3	1	1	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	 	 	 	 
1	2	1	1	1	7	3	46	10	8	98	97	0	 	8	0	5	2	1	4	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	7	3	 	 
2	2	1	2	0	7	4	99	16	5	6	97	60	2	0	8	5	3	4	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	 	 	 	 
2	2	1	2	2	7	3	57	10	6	5	97	0	 	8	0	4	5	1	3	2	1	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	7	 	 	 
2	1	1	2	1	1	2	64	14	8	12	20	38	6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	 	 	 
1	1	1	2	1	6	0	72	9	12	98	97	36	6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	 	 	 
2	1	1	1	0	2	5	67	12	8	8	13	28	6	0	1	4	5	2	1	3	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	 	 	 	 
1	1	1	2	0	1	0	33	15	11	12	14	65	1	0	1	5	4	2	1	3	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	 	 	 	 
1	3	1	2	2	2	1	23	14	12	12	97	49	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	 	 	 
2	1	1	2	2	7	1	33	12	12	12	97	50	2	1	0	3	5	1	4	2	1	2	1	2	2	2	2	2	1	2	2	2	1	2	2	2	2	2	2	 	 	 
