"sorszam" "csoport" "magassag"
"1" "törpe" 80.320880258918
"2" "törpe" 121.417852822984
"3" "óriás" 132.166046697445
"4" "törpe" 101.129355775363
"5" "óriás" 210.412700516277
"6" "óriás" 128.875430522174
"7" "törpe" 92.9655795685474
"8" "törpe" 113.277772276898
"9" "óriás" 234.503238275308
"10" "óriás" 137.84488463504
"11" "óriás" 188.536718567038
"12" "törpe" 96.4629113628175
"13" "törpe" 130.362809493672
"14" "törpe" 116.279424326438
"15" "törpe" 109.978416797803
"16" "törpe" 92.4738158204607
"17" "óriás" 247.798084066044
"18" "törpe" 134.591242226791
"19" "törpe" 94.6109735321298
"20" "törpe" 82.3829054537246
"21" "törpe" 99.9815925425218
"22" "törpe" 83.1725750568999
"23" "óriás" 204.184396507924
"24" "törpe" 111.798402662091
"25" "törpe" 90.0159471784986
"26" "óriás" 146.313714946494
"27" "óriás" 155.181607836578
"28" "óriás" 186.883396379997
"29" "törpe" 89.0482516093767
"30" "törpe" 81.9077016471382
"31" "óriás" 255.262592663532
"32" "óriás" 265.397116155194
"33" "törpe" 112.302903734681
"34" "törpe" 87.6720891261116
"35" "törpe" 93.9236443103438
"36" "törpe" 78.5025485885047
"37" "törpe" 125.369973324285
"38" "törpe" 125.505732425283
"39" "törpe" 127.777758928209
"40" "törpe" 128.250135327428
"41" "törpe" 71.5389991877398
"42" "óriás" 150.254273128006
"43" "óriás" 211.346916431457
"44" "óriás" 223.610602823741
"45" "törpe" 96.4413320034523
"46" "törpe" 130.188753171004
"47" "törpe" 104.283923162994
"48" "óriás" 203.77579492114
"49" "törpe" 74.1854118094798
"50" "óriás" 288.351555198838
