henger	loero	vegseb	gy100	f90	f120	vf	tomeg	kateg
899	41	140	18	7,7	6,3	6,6	710	1
993	52	146	15,9	4	5,9	5,9	710	1
999	45	145	17,7	4,6	6,4	6,7	785	1
1108	50	152	16	4,8	6,5	7,7	810	1
1108	55	150	16,5	4,7	6,5	7,9	840	1
1171	55	155	16	4,7	6,3	7,3	825	1
1171	55	155	15	7,7	6,3	7,3	875	1
1239	55	150	14	5,1	7	7,4	790	1
1242	60	160	14,5	4,7	6,5	8	865	1
1242	75	172	12	4,9	6,7	8,3	850	2
1295	90	169	11	5,3	7,1	7,5	850	2
1298	75	170	12,5	5,4	7,1	8,3	940	2
1298	71	165	12,2	4,2	5,8	6,3	790	2
1324	73	160	12,7	5	6,9	7,1	855	2
1343	75	170	11,3	5,4	7,3	8,4	925	2
1361	75	172	13,7	5,3	6,8	7,6	945	2
1372	70	161	13	5,4	7,3	8,9	990	2
1372	70	165	12,4	5,6	7,2	9,4	845	2
1372	136	205	8	5,5	7,9	10	1000	3
1388	82	175	13	5,2	6,7	9,1	985	2
1389	60	160	16	5,1	6,6	8,6	955	1
1390	58	161	14,8	5,1	6,7	7,8	965	1
1390	75	175	11,3	4,8	6,5	7,8	850	2
1391	60	157	16,3	5,2	7	8,2	960	1
1396	90	170	11,2	5,5	7,4	8	965	2
1487	50	150	19,5	4	5,7	6	905	1
1490	97	180	10,7	6	8	9,5	970	2
1493	90	180	9,7	5,5	7,2	8,8	935	2
1581	76	170	12,4	6,3	7,9	10,5	1020	2
1581	90	180	11	5,1	7,2	9,5	965	2
1590	124	205	8,3	5,4	6,9	8,3	940	3
1590	125	195	8,8	6	7,5	8,9	1030	3
1590	110	173	10,1	7,1	9,3	10,2	1090	3
1590	125	195	8,7	5,9	7,5	8,9	985	3
1597	113	180	11,6	6	7,5	9,1	1015	3
1597	113	190	9,8	5,6	7,2	8,9	995	3
1597	113	185	9,9	6,5	8,2	10,1	1100	3
1598	75	176	14,5	4,8	6,3	8,2	1069	2
1598	75	170	14	5,2	6,9	8,6	990	2
1598	114	220	9,1	5,4	7,1	9,2	1160	3
1721	90	185	10,7	6,4	8	10,8	1035	2
1721	90	179	11,5	6,3	8	10,5	1044	2
1764	137	212	8,5	6,3	7,6	10,6	1060	3
1764	137	209	8	6,3	7,9	10,3	1000	3
1781	90	180	12,8	5,6	7,5	9,7	1045	2
1781	90	175	16,2	6,3	8,2	11,2	1175	2
1794	90	180	13,9	6,3	8	11,2	1225	2
1834	140	210	7,6	6,1	7,5	10	1040	3
1845	136	202	8,5	7,1	8,8	11,1	1135	3
1984	101	182	12,9	6,4	7,8	10,7	1345	2
1991	115	198	10,4	6,1	8	9,9	1150	3
1994	115	185	11	7,7	9,2	12	1210	3
1995	136	203	10,3	6,8	8,4	12,4	1320	3
1995	115	190	10,6	6,9	8,6	11,4	1210	3
1996	133	220	9,2	6,8	8,5	10,1	1240	3
1998	116	195	11,5	6,3	8,1	11,9	1309	3
1998	115	198	10,5	5,5	6,9	10,4	1144	3
1998	115	205	10	6,1	7,5	11,4	1190	3
1998	115	195	13	5,6	8,3	11,8	1410	3
1998	136	210	11	6,6	8	10,8	1425	3
2435	170	215	8,9	6,6	8,3	12,4	1330	3
2226	230	241	6,8	7,9	9,5	14,6	1650	4
2446	175	215	9,2	7,6	9,4	13,2	1450	3
2497	165	220	8,5	7,3	9,1	13	1195	3
2498	170	223	9,5	7	8,6	11,6	1510	3
2598	150	209	9,9	7	8,6	12,5	1440	3
2771	174	219	9,1	7,3	8,9	13	1445	3
2771	174	228	9,1	7,2	8,9	12,8	1215	3
2962	211	240	8,8	7,2	8,8	12,8	1525	4
2975	167	220	9,6	8,2	10,1	15,5	1465	3
3200	204	223	8,1	8,3	10,2	13,9	1575	4
4172	300	250	7,3	8,2	10,2	16,5	1280	4
4172	290	249	5,9	9	11	18,9	1695	4
