mpg	engine	horse	weight	accel	year	origin	cylinder	filter_$
18	307	130	3504	12	70	1	8	0
15	350	165	3693	11,5	70	1	8	0
18	318	150	3436	11	70	1	8	0
16	304	150	3433	12	70	1	8	0
17	302	140	3449	10,5	70	1	8	0
15	429	198	4341	10	70	1	8	0
14	454	220	4354	9	70	1	8	0
14	440	215	4312	8,5	70	1	8	0
14	455	225	4425	10	70	1	8	0
15	390	190	3850	8,5	70	1	8	0
 	133	115	3090	17,5	70	2	4	1
 	350	165	4142	11,5	70	1	8	0
 	351	153	4034	11	70	1	8	0
 	383	175	4166	10,5	70	1	8	0
 	360	175	3855	11	70	1	8	0
15	383	170	3563	10	70	1	8	0
14	340	160	3609	8	70	1	8	0
 	302	140	3353	8	70	1	8	0
15	400	150	3761	9,5	70	1	8	0
14	455	225	3086	10	70	1	8	0
24	113	95	2372	15	70	3	4	1
22	198	95	2833	15,5	70	1	6	1
18	199	97	2774	15,5	70	1	6	1
21	200	85	2587	16	70	1	6	1
27	97	88	2132	14,5	70	3	4	1
26	97	46	1835	20,5	70	2	4	1
25	110	87	2672	17,5	70	2	4	1
24	107	90	2430	14,5	70	2	4	1
25	104	95	2375	17,5	70	2	4	1
26	121	113	2234	12,5	70	2	4	1
21	199	90	2648	15	70	1	6	1
10	360	215	4615	14	70	1	8	0
10	307	200	4376	15	70	1	8	0
11	318	210	4382	13,5	70	1	8	0
9	4	93	732	8,5	0	 	 	 
27	97	88	2130	14,5	71	3	4	1
28	140	90	2264	15,5	71	1	4	1
25	113	95	2228	14	71	3	4	1
25	98	 	2046	19	71	1	4	1
 	97	48	1978	20	71	2	4	1
19	232	100	2634	13	71	1	6	1
16	225	105	3439	15,5	71	1	6	1
17	250	100	3329	15,5	71	1	6	1
19	250	88	3302	15,5	71	1	6	1
18	232	100	3288	15,5	71	1	6	1
14	350	165	4209	12	71	1	8	0
14	400	175	4464	11,5	71	1	8	0
14	351	153	4154	13,5	71	1	8	0
14	318	150	4096	13	71	1	8	0
12	383	180	4955	11,5	71	1	8	0
13	400	170	4746	12	71	1	8	0
13	400	175	5140	12	71	1	8	0
18	258	110	2962	13,5	71	1	6	1
22	140	72	2418	19	71	1	4	1
19	250	100	3282	15	71	1	6	1
18	250	88	3139	14,5	71	1	6	1
23	122	86	2220	14	71	1	4	1
28	116	90	2123	14	71	2	4	1
30	79	70	2074	19,5	71	2	4	1
30	88	76	2065	14,5	71	2	4	1
31	71	65	1773	19	71	3	4	1
35	72	69	1613	18	71	3	4	1
27	97	60	1834	19	71	2	4	1
26	91	70	1955	20,5	71	1	4	1
24	113	95	2278	15,5	72	3	4	1
25	97,5	80	2126	17	72	1	4	1
23	97	54	2254	23,5	72	2	4	1
20	140	90	2408	19,5	72	1	4	1
21	122	86	2226	16,5	72	1	4	1
13	350	165	4274	12	72	1	8	0
14	400	175	4385	12	72	1	8	0
15	318	150	4135	13,5	72	1	8	0
14	351	153	4129	13	72	1	8	0
17	304	150	3679	11,5	72	1	8	0
11	429	208	4633	11	72	1	8	0
13	350	155	4502	13,5	72	1	8	0
12	350	160	4456	13,5	72	1	8	0
13	400	190	4422	12,5	72	1	8	0
19	70	97	2330	13,5	72	3	3	 
15	304	150	3892	12,5	72	1	8	0
13	307	130	4098	14	72	1	8	0
13	302	140	4294	16	72	1	8	0
14	318	150	4077	14	72	1	8	0
18	121	112	2933	14,5	72	2	4	1
22	121	76	2511	18	72	2	4	1
21	120	87	2979	19,5	72	2	4	1
26	96	69	2189	18	72	2	4	1
22	122	86	2395	16	72	1	4	1
28	97	92	2288	17	72	3	4	1
23	120	97	2506	14,5	72	3	4	1
28	98	80	2164	15	72	1	4	1
27	97	88	2100	16,5	72	3	4	1
13	350	175	4100	13	73	1	8	0
14	304	150	3672	11,5	73	1	8	0
13	350	145	3988	13	73	1	8	0
14	302	137	4042	14,5	73	1	8	0
15	318	150	3777	12,5	73	1	8	0
12	429	198	4952	11,5	73	1	8	0
13	400	150	4482	12	73	1	8	0
13	351	158	4363	13	73	1	8	0
