"nem" "gyerekek" "életkor" "oktatás"
"1" 2 2 61 12
"2" 2 1 32 20
"3" 1 1 35 20
"4" 2 0 26 20
"5" 2 0 25 12
"6" 1 5 59 10
"7" 1 3 46 10
"8" 2 4 NA 16
"9" 2 3 57 10
"10" 2 2 64 14
"11" 1 0 72 9
"12" 2 5 67 12
"13" 1 0 33 15
"14" 1 1 23 14
"15" 2 1 33 12
"16" 2 2 59 12
"17" 1 1 60 14
"18" 1 2 77 9
"19" 2 2 52 14
"20" 1 1 55 7
"21" 2 1 37 14
"22" 2 0 45 9
"23" 2 0 34 12
"24" 2 3 35 9
"25" 2 1 35 13
"26" 1 0 47 12
"27" 2 3 24 11
"28" 2 0 28 12
"29" 1 2 57 19
"30" 1 2 44 18
"31" 2 1 75 14
"32" 2 3 58 16
"33" 1 1 49 13
"34" 1 0 22 14
"35" 2 3 44 17
"36" 1 2 48 19
"37" 2 2 23 12
"38" 1 0 56 15
"39" 2 0 25 13
"40" 2 0 78 12
"41" 2 3 37 15
"42" 1 4 60 12
"43" 2 0 30 16
"44" 1 0 21 13
"45" 2 3 65 13
"46" 1 8 64 11
"47" 1 0 31 18
"48" 2 3 64 12
"49" 1 2 39 18
"50" 2 0 29 16
"51" 2 2 57 18
"52" 1 0 35 14
"53" 1 0 22 15
"54" 1 0 35 16
"55" 1 0 43 20
"56" 2 2 35 12
"57" 2 3 70 12
"58" 1 2 49 13
"59" 2 1 21 11
"60" 2 2 34 12
"61" 1 1 34 12
"62" 1 0 33 13
"63" 2 1 31 16
"64" 2 2 50 12
"65" 2 3 48 12
"66" 2 3 46 11
"67" 2 3 36 12
"68" 2 5 34 11
"69" 2 5 22 13
"70" 2 4 71 11
"71" 2 8 37 12
"72" 2 3 67 9
"73" 1 2 61 12
"74" 2 3 50 14
"75" 1 5 49 4
"76" 2 3 65 15
"77" 1 2 39 16
"78" 2 0 80 14
"79" 2 1 47 15
"80" 2 3 61 12
"81" 2 0 54 14
"82" 2 0 28 16
"83" 1 0 59 16
"84" 1 0 25 16
"85" 2 4 77 11
"86" 2 0 33 18
"87" 1 0 43 16
"88" 1 1 23 12
"89" 1 0 20 11
"90" 2 4 28 9
"91" 2 2 36 10
"92" 2 2 36 12
"93" 2 4 30 13
"94" 1 5 44 15
"95" 2 0 37 13
"96" 2 3 35 12
"97" 2 3 38 12
"98" 2 0 24 12
"99" 2 2 38 8
"100" 2 1 58 14
"101" 2 3 31 9
"102" 2 2 71 8
"103" 1 2 54 12
"104" 2 2 68 12
"105" 1 2 33 10
"106" 1 0 30 16
"107" 1 8 71 12
"108" 2 4 22 11
