row	eletkor	csalall	munkvisz	tipus	jovedelem	fedezet	kperf	adostip	status
1	33	1	7	1	27	3	100	1	1
2	36	1	15	1	26	2	70	1	1
3	61	2	10	2	12	3	80	2	1
4	52	3	16	2	53	3	80	2	1
5	41	3	8	2	36	3	80	2	2
6	45	3	17	2	29	3	80	2	1
7	32	3	4	2	28	3	80	2	1
8	41	3	11	1	61	3	100	1	1
9	48	3	14	3	49	3	70	2	1
10	40	3	1	3	53	3	70	2	1
11	33	3	11	2	52	3	70	2	1
12	27	3	3	2	38	3	70	1	1
13	41	3	2	2	65	3	80	1	1
14	32	1	12	3	49	3	100	2	1
15	58	3	4	3	56	1	80	2	1
16	48	1	4	1	11	3	100	1	1
17	27	3	3	1	24	3	100	1	1
18	63	3	30	1	34	2	80	2	1
19	22	1	1	1	8,5	2	90	1	1
20	53	3	32	1	38	2	90	2	1
21	61	2	1	3	6,5	1	90	1	1
22	40	1	2	1	5	2	90	1	1
23	59	3	1	2	48,3	3	63	1	2
24	40	3	1	2	16	3	67	1	2
25	52	2	12	3	9	1	100	1	2
26	42	3	2	1	56	2	90	2	2
27	60	1	11	3	13,5	1	100	1	2
28	52	3	14	3	52	1	100	1	3
29	56	3	13	3	75	1	70	1	3
30	32	2	3	2	26	3	80	1	3
31	52	3	4	3	35	3	70	1	3
32	39	2	4	1	7,9	5	100	2	3
33	47	2	2	2	22	3	80	1	3
34	32	2	12	3	7,9	1	90	2	3
35	34	3	5	3	55	1	70	1	3
36	53	2	9	2	14	3	80	1	3
37	27	3	1	2	17,9	3	70	1	3
38	52	3	14	3	52	1	100	2	3
39	42	2	3	3	27	1	70	1	3
40	43	2	3	1	9	3	90	1	3
41	26	1	2	1	37	5	100	1	3
42	33	2	3	1	5	3	100	1	3
43	28	1	5	1	3,6	5	100	2	3
44	24	1	1	1	17	2	100	1	3
45	27	3	4	1	26	2	100	1	3
46	41	3	7	2	38	3	90	2	1
47	19	1	7	1	12	2	70	1	1
48	51	3	3	1	32	3	100	1	1
49	40	3	1	3	18	5	100	2	1
50	53	2	11	3	43	3	60	2	1
51	28	1	1	3	7,4	1	70	1	1
52	48	1	1	3	18	1	70	2	1
53	51	3	4	3	24	1	70	2	1
54	53	2	9	3	23	1	70	2	1
55	61	2	8	3	6,5	1	70	2	1
56	54	3	18	2	28	3	70	1	1
57	27	3	3	2	69	3	80	1	1
58	54	3	26	3	5,6	1	90	2	1
59	53	3	2	3	33	1	70	2	1
60	58	2	3	3	38	1	70	1	1
61	27	3	4	3	61	3	70	2	1
62	33	3	10	1	18	3	100	1	1
63	52	3	4	1	29	5	100	2	1
64	31	3	2	1	6,5	2	70	2	1
65	52	2	16	1	4,7	2	100	2	1
66	38	1	17	1	9	3	100	1	1
67	24	1	1	1	35	1	100	1	1
68	32	3	15	2	37	3	80	1	2
69	39	2	4	2	18	3	80	1	2
70	63	1	18	2	36	3	62	1	2
